localfile	url	serverversion	size	downloaddate	lastmoddate
00000001.tmp	http://www.domain0.tl0/page0.html	SomeServer/1.0	12727	2008-01-01	2007-12-22
00000002.tmp	http://www.domain0.tl0/page1.html	SomeServer/1.0	7482	2008-01-01	2007-12-14
00000003.tmp	http://www.domain0.tl0/page2.html	SomeServer/1.0	11852	2008-01-01	2007-12-04
00000004.tmp	http://www.domain0.tl0/page3.html	SomeServer/1.0	12553	2008-01-01	2007-12-13
00000005.tmp	http://www.domain0.tl0/page4.html	SomeServer/1.0	131	2008-01-01	2007-12-14
00000006.tmp	http://www.domain0.tl0/page5.html	SomeServer/1.0	3508	2008-01-01	2007-12-27
00000007.tmp	http://www.domain0.tl0/page6.html	SomeServer/1.0	555	2008-01-01	2007-12-02
00000008.tmp	http://www.domain0.tl0/page7.html	SomeServer/1.0	14094	2008-01-01	2007-12-12
00000009.tmp	http://www.domain0.tl0/page8.html	SomeServer/1.0	6389	2008-01-01	2007-12-02
00000010.tmp	http://www.domain0.tl0/page9.html	SomeServer/1.0	6624	2008-01-01	2007-12-15
00000011.tmp	http://www.domain1.tl0/page0.html	SomeServer/2.0	3540	2008-01-01	2007-12-07
00000012.tmp	http://www.domain1.tl0/page1.html	SomeServer/2.0	4418	2008-01-01	2007-12-02
00000013.tmp	http://www.domain1.tl0/page2.html	SomeServer/2.0	8391	2008-01-01	2007-12-19
00000014.tmp	http://www.domain1.tl0/page3.html	SomeServer/2.0	14889	2008-01-01	2007-12-25
00000015.tmp	http://www.domain1.tl0/page4.html	SomeServer/2.0	5057	2008-01-01	2007-12-21
00000016.tmp	http://www.domain1.tl0/page5.html	SomeServer/2.0	14053	2008-01-01	2007-12-13
00000017.tmp	http://www.domain1.tl0/page6.html	SomeServer/2.0	10088	2008-01-01	2007-12-10
00000018.tmp	http://www.domain1.tl0/page7.html	SomeServer/2.0	13249	2008-01-01	2007-12-24
00000019.tmp	http://www.domain1.tl0/page8.html	SomeServer/2.0	8876	2008-01-01	2007-12-02
00000020.tmp	http://www.domain1.tl0/page9.html	SomeServer/2.0	11982	2008-01-01	2007-12-13
00000021.tmp	http://www.domain2.tl0/page0.html	SuperServer/3.0	8277	2008-01-01	2007-12-20
00000022.tmp	http://www.domain2.tl0/page1.html	SuperServer/3.0	5683	2008-01-01	2007-12-13
00000023.tmp	http://www.domain2.tl0/page2.html	SuperServer/3.0	11699	2008-01-01	2007-12-16
00000024.tmp	http://www.domain2.tl0/page3.html	SuperServer/3.0	7396	2008-01-01	2007-12-02
00000025.tmp	http://www.domain2.tl0/page4.html	SuperServer/3.0	10581	2008-01-01	2007-12-28
