localfile	test	errors
00000001.tmp	Test0	0
00000001.tmp	Test1	11
00000001.tmp	Test2	0
00000001.tmp	Test3	11
00000001.tmp	Test4	0
00000002.tmp	Test0	0
00000002.tmp	Test1	6
00000002.tmp	Test2	12
00000002.tmp	Test3	4
00000002.tmp	Test4	10
00000003.tmp	Test0	0
00000003.tmp	Test1	0
00000003.tmp	Test2	0
00000003.tmp	Test3	0
00000003.tmp	Test4	0
00000004.tmp	Test0	0
00000004.tmp	Test1	8
00000004.tmp	Test2	3
00000004.tmp	Test3	11
00000004.tmp	Test4	6
00000005.tmp	Test0	0
00000005.tmp	Test1	5
00000005.tmp	Test2	10
00000005.tmp	Test3	1
00000005.tmp	Test4	6
00000006.tmp	Test0	0
00000006.tmp	Test1	25
00000006.tmp	Test2	23
00000006.tmp	Test3	21
00000006.tmp	Test4	19
00000007.tmp	Test0	0
00000007.tmp	Test1	1
00000007.tmp	Test2	0
00000007.tmp	Test3	1
00000007.tmp	Test4	0
00000008.tmp	Test0	0
00000008.tmp	Test1	6
00000008.tmp	Test2	0
00000008.tmp	Test3	6
00000008.tmp	Test4	0
00000009.tmp	Test0	0
00000009.tmp	Test1	1
00000009.tmp	Test2	0
00000009.tmp	Test3	1
00000009.tmp	Test4	0
00000010.tmp	Test0	0
00000010.tmp	Test1	9
00000010.tmp	Test2	3
00000010.tmp	Test3	12
00000010.tmp	Test4	6
00000011.tmp	Test0	0
00000011.tmp	Test1	5
00000011.tmp	Test2	3
00000011.tmp	Test3	1
00000011.tmp	Test4	6
00000012.tmp	Test0	0
00000012.tmp	Test1	0
00000012.tmp	Test2	0
00000012.tmp	Test3	0
00000012.tmp	Test4	0
00000013.tmp	Test0	0
00000013.tmp	Test1	12
00000013.tmp	Test2	5
00000013.tmp	Test3	17
00000013.tmp	Test4	10
00000014.tmp	Test0	0
00000014.tmp	Test1	14
00000014.tmp	Test2	3
00000014.tmp	Test3	17
00000014.tmp	Test4	6
00000015.tmp	Test0	0
00000015.tmp	Test1	17
00000015.tmp	Test2	13
00000015.tmp	Test3	9
00000015.tmp	Test4	5
00000016.tmp	Test0	0
00000016.tmp	Test1	0
00000016.tmp	Test2	0
00000016.tmp	Test3	0
00000016.tmp	Test4	0
00000017.tmp	Test0	0
00000017.tmp	Test1	8
00000017.tmp	Test2	6
00000017.tmp	Test3	4
00000017.tmp	Test4	2
00000018.tmp	Test0	0
00000018.tmp	Test1	1
00000018.tmp	Test2	2
00000018.tmp	Test3	3
00000018.tmp	Test4	4
